,From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,has_ac,sleeper_category,is_seater,is_multiaxle,has_video,is_pushback,seat_format,brand
38,Khamgaon,Jalna,akash BUS AMRAVATI,143,0:2:30,A/c,11:00:00 PM,01:30:00 AM,True,Other,False,False,False,False,,
39,Khamgaon,Jalna,akash BUS AMRAVATI-Sangeetam 2x1,143,0:4:0,Non A/c,08:45:00 PM,12:45:00 AM,False,Other,False,False,False,False,,
40,Khamgaon,Jalna,Sheetal Travels Akola,143,0:3:0,Non A/c,08:00:00 PM,11:00:00 PM,False,Other,False,False,False,False,,
41,Khamgaon,Jalna,akash BUS AMRAVATI,143,0:6:0,Non A/c,09:00:00 PM,03:00:00 AM,False,Other,False,False,False,False,,
42,Khamgaon,Indore,Hans Travels Indore-,284,0:7:20,A/c,01:30:00 AM,08:50:00 AM,True,Other,False,False,False,False,,
43,Khamgaon,Nagpur,shreenath travellers,297,0:5:30,Non A/c,06:05:00 AM,11:35:00 AM,False,Other,False,False,False,False,,
44,Khamgaon,Nagpur,Rachna Travels,297,0:7:26,Non A/c,09:50:00 PM,05:16:00 AM,False,Other,False,False,False,False,,
45,Khamgaon,Malegaon,akash BUS AMRAVATI,220,0:5:30,Non A/c,10:00:00 PM,03:30:00 AM,False,Other,False,False,False,False,,
46,Khamgaon,Jalgaon,Vidarbha Express,255,0:6:23,Non A/c,09:00:00 PM,03:23:00 AM,False,Other,False,False,False,False,,
47,Khamgaon,Tuljapur,akash BUS AMRAVATI-Sangeetam 2x1,382,0:7:0,Non A/c,08:45:00 PM,03:45:00 AM,False,Other,False,False,False,False,,
48,Khamgaon,Mumbai,akash BUS AMRAVATI-2x1 a/c air sus-lcd,543,0:11:0,A/c,09:15:00 PM,08:15:00 AM,True,Other,False,False,False,False,,
49,Khamgaon,Pune,Rachna Travels,436,0:10:54,Non A/c,09:50:00 PM,08:44:00 AM,False,Other,False,False,False,False,,
50,Khamgaon,Pune,Sangeetam Travels,436,0:10:54,A/c,09:00:00 PM,07:54:00 AM,True,Other,False,False,False,False,,
51,Khamgaon,Pune,akash BUS AMRAVATI,436,0:6:0,Non A/c,09:00:00 PM,03:00:00 AM,False,Other,False,False,False,False,,
52,Khamgaon,Pune,akash BUS AMRAVATI,436,0:8:30,A/c,11:00:00 PM,07:30:00 AM,True,Other,False,False,False,False,,
53,Khamgaon,Pune,akash BUS AMRAVATI,436,0:6:0,Non A/c,12:00:00 AM,06:00:00 AM,False,Other,False,False,False,False,,
54,Khamgaon,Pune,akash BUS AMRAVATI,436,0:8:30,Non A/c,09:45:00 PM,06:15:00 AM,False,Other,False,False,False,False,,
55,Khamgaon,Dhule,Vidarbha Express,223,0:5:35,Non A/c,09:00:00 PM,02:35:00 AM,False,Other,False,False,False,False,,
56,Akot,Malegaon,Sheetal Travels Akola,80,0:2:0,Non A/c,07:00:00 PM,09:00:00 PM,False,Other,False,False,False,False,,
57,Akot,Shegaon,Sheetal Travels Akola,56,0:2:0,Non A/c,05:00:00 PM,07:00:00 PM,False,Other,False,False,False,False,,
