,From,To,Operator,Distance,Departure,Arrival,Has A/C?,Sleeper Category,Is Seater?,Is Multi-Axle?,Has Video?,Pushback Seats,Seat Format,Bus Brand,Duration
99,Hosur,Udumalpet,Srs Travels (SRS Travels),270,11:45:00 PM,06:30:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 06:45:00
100,Hosur,Udumalpet,KPN Travels,320,11:30:00 PM,07:30:00 AM,True,Sleeper,False,False,False,False,,,0 days 08:00:00
101,Hosur,Udumalpet,KPN Travels,440,11:00:00 PM,10:00:00 AM,False,Other,False,False,False,False,2+2,,0 days 11:00:00
102,Hosur,Udumalpet,Srs Travels (SRS Travels),280,10:30:00 PM,05:30:00 AM,False,Sleeper,False,False,True,False,2+1,,0 days 07:00:00
103,Hosur,Monipalli,Kallada Travels,315,07:50:00 PM,03:43:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 07:53:00
104,Hosur,Monipalli,Kallada Travels,486,07:30:00 PM,07:39:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
105,Hosur,Thiruvarur,KPN Travels,400,09:45:00 PM,07:45:00 AM,False,Other,False,False,False,False,2+2,,0 days 10:00:00
106,Hosur,Thiruvarur,KPN Travels,360,09:15:00 PM,06:15:00 AM,True,Sleeper,False,False,False,False,,,0 days 09:00:00
107,Hosur,Alleppey,Kallada Travels,347,07:45:00 PM,04:26:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:41:00
108,Hosur,Alleppey,Kallada Travels,486,07:15:00 PM,07:24:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
109,Hosur,Alleppey,Kallada Travels,486,10:00:00 PM,10:09:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
110,Hosur,Alleppey,Kallada Travels,324,06:00:00 PM,02:06:00 AM,,Semi-Sleeper,False,False,False,False,,,0 days 08:06:00
111,Hosur,Alleppey,Kallada Travels,486,02:45:00 PM,02:54:00 AM,True,Semi-Sleeper,False,True,False,False,,volvo,0 days 12:09:00
112,Hosur,Alleppey,Bharathi Travels,350,09:45:00 PM,06:30:00 AM,True,Semi-Sleeper,False,True,True,False,2+2,mercedes,0 days 08:45:00
113,Hosur,Alleppey,KPN Travels,390,07:15:00 PM,05:00:00 AM,True,Other,False,True,False,False,2+2,volvo,0 days 09:45:00
